id,name,host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
184853,78704  Austin Getaway Two Bedroom monthly rental.,518748,Rachel,78704,Entire home/apt,139,30,2,1,302,1
195674,"Large Zilker Home, Downtown- SOCO-ACL!",951551,Lori,78704,Entire home/apt,750,2,35,1,352,6
202187,South Congress Studio Apartment,989596,John,78704,Entire home/apt,87,1,817,2,281,70
202753,Parkside Loft - Entire bottom floor or the house.,729047,Tracy,78703,Private room,175,3,12,1,11,2
207054,Keep Austin Lovely in 2BR/1Ba Mid-Century Home!,1018853,Merri Gale & Donald,78741,Entire home/apt,165,3,161,1,0,18
208897,"Heart of east Austin–unique, bright, private haven",1029071,Suzanne,78702,Entire home/apt,192,3,97,1,98,12
214795,Cute Condo Close to Zilker & Dwntwn,1109019,Kristi,78704,Entire home/apt,75,2,84,1,55,14
218402,New to Austin?  Perfect WFH Suite!,1129520,Paulette,78754,Private room,28,30,24,1,266,2
219168,SOCO Living,1134580,Kalu,78704,Entire home/apt,250,2,8,1,0,0
222967,Luxe Spa Bungalow - Walk Downtown!,1157982,Lyon,78702,Entire home/apt,185,6,32,4,332,2
222986,Circa 1899 Luxe Spa House - Walk DT,1157982,Lyon,78702,Entire home/apt,500,20,53,4,335,0
224603,Modern Studio Loft,1169129,David And Kristy,78751,Entire home/apt,105,28,110,1,254,5
227372,The Iconic Allen's Boots Clubhouse!,51183342,Hunter,78704,Entire home/apt,598,1,220,5,126,37
233930,The Treehouse 1930's Hyde Park Home,578211,Pete,78751,Entire home/apt,165,20,85,9,318,11
238657,Hill House in Wonderful Bouldin!,1250939,Kerry,78704,Entire home/apt,164,2,126,4,217,18
247770,Lovely House In Hip East Austin,1298575,Gloria,78723,Entire home/apt,175,2,1,1,0,0
248515,Cute Eastside Bungalow -  Perfect Austin Base,1208485,Caitlin,78702,Entire home/apt,250,2,119,2,66,51
252804,"» 3 bed, sleeps 5, 2 miles to DT",1327500,Brooks,78704,Entire home/apt,110,30,94,1,204,3
271052,Updated Remodel Clean & Comfy South Austin Condo!,1418696,Kelsey,78704,Entire home/apt,252,3,30,1,355,6
277028,One of a kind stay In the Heart of ATX,746455,Michael,78703,Entire home/apt,485,30,95,4,0,39
281182,Great House 1 block from Metro Rail SXSW,1465788,Michelle,78702,Entire home/apt,350,3,41,1,353,5
282342,3bedroom 2.5bath Kitchen Garage for 30days or more,1471597,Teresa,78758,Entire home/apt,86,30,26,1,4,3
294708,3bd+Loft...SOCO Area Convenience,1523587,Dallas,78741,Entire home/apt,201,3,271,18,317,24
295275,Stylish 3/2/2 with large backyard,1282837,Joseph,78745,Entire home/apt,191,30,59,2,236,4
300574,Historic SOUTHAustin Retro Groovy LOFT 78704 proud,167892,Veronica,78704,Entire home/apt,141,2,375,1,152,43
304808,Spanish Hacienda mile from downtown,1566930,Chris,78702,Private room,60,2,286,1,346,27
304866,Big cute clean Casita in SxSAustin!,1568741,Jim O',78745,Entire home/apt,70,3,143,12,353,30
314152,2 bdrm Condo at  360 Bridge,1614097,Denise,78730,Entire home/apt,350,4,0,1,0,0
315239,Very convenient for SxSW,1617870,John,78745,Entire home/apt,600,3,2,1,362,0
316630,"Hip, convenient home in 78704!",1626165,Gretchen,78704,Entire home/apt,400,3,9,1,0,0
319759,█ Swanky Townhome+Rooftop | Downtown | 6th Street!,814883,Kristen,78702,Entire home/apt,650,1,251,12,308,18
319887,Quaint East Austin 2BR SXSW 2016,1640158,Jeremy,78702,Entire home/apt,694,4,2,1,0,0
319894,The Perfect Austin Modern Home,1640172,Gary,78724,Entire home/apt,189,2,138,2,139,54
321069,Avail ACL: 3/2 Mid-Century Mod-Central Austin,1644741,Liz,78704,Entire home/apt,679,2,1,1,0,0
321675,3/2 House w/ Pool in Barton Hills,1142525,James,78704,Entire home/apt,500,1,13,1,0,0
322834,Spacious 3/2 East Austin Home,3797734,Leslie And Dylan,78702,Entire home/apt,240,4,47,1,0,0
323733,4th St Loft in Downtown Austin!,1654178,Erik,78701,Entire home/apt,178,1,362,1,0,0
324480,Charming Central Austin Apartment,1660476,Mark,78705,Entire home/apt,82,30,0,2,328,0
325889,"Dream Location, Creative 5-Bedroom House w Jacuzzi",1666874,Abbie & Brian,78704,Entire home/apt,785,3,47,1,338,11
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
